1737-80,0,,(2) C,WIN,
ECON,(C.I.,20,),IT =,
,,,,,
ALT,ISA,WEIGHT,MACH,FF/ENG,TAS
M,DEG C,KG,,KG/HR D,KTS
,,,,,
600,-10,55000,0.432,1253.3,279
600,-10,55500,0.434,1260.5,280
600,-10,56000,0.435,1267.8,281
600,-10,56500,0.436,1275.1,281
600,-10,57000,0.437,1282.4,282
600,-10,57500,0.439,1289.8,283
600,-10,58000,0.44,1297.2,284
600,-10,58500,0.441,1304.6,285
600,-10,59000,0.443,1312.1,286
600,-10,59500,0.444,1319.6,286
600,-10,60000,0.445,1327.1,287
600,-10,60500,0.447,1334.7,288
600,-10,61000,0.448,1342.2,289
600,-10,61500,0.449,1349.9,290
600,-10,62000,0.45,1357.5,291
600,-10,62500,0.452,1365.2,292
600,-10,63000,0.453,1372.9,292
600,-10,63500,0.454,1380.6,293
600,-10,64000,0.456,1388.4,294
600,-10,64500,0.457,1396.2,295
600,-10,65000,0.458,1404,296
600,-10,65500,0.46,1411.8,297
600,-10,66000,0.461,1419.6,297
600,-10,66500,0.462,1427.5,298
600,-10,67000,0.463,1435.4,299
600,-10,67500,0.465,1443.3,300
600,-10,68000,0.466,1450.8,301
600,-10,68500,0.467,1458.3,301
600,-10,69000,0.468,1465.8,302
600,-10,69500,0.47,1473.3,303
600,-10,70000,0.471,1480.8,304
600,-10,70500,0.472,1488.4,305
600,-10,71000,0.473,1495.9,305
600,-10,71500,0.474,1503.5,306
600,-10,72000,0.475,1511.1,307
600,-10,72500,0.477,1518.6,308
600,-10,73000,0.478,1526.2,308
600,-10,73500,0.479,1533.8,309
600,-10,74000,0.48,1541.4,310
600,-10,74500,0.481,1549.1,311
600,-10,75000,0.483,1556.7,311
600,0,55000,0.431,1280.6,283
600,0,55500,0.432,1288,284
600,0,56000,0.434,1295.5,285
600,0,56500,0.435,1303,286
600,0,57000,0.436,1310.5,287
600,0,57500,0.437,1318.1,287
600,0,58000,0.439,1325.7,288
600,0,58500,0.44,1333.3,289
600,0,59000,0.441,1341,290
600,0,59500,0.443,1348.7,291
600,0,60000,0.444,1356.4,292
600,0,60500,0.445,1364.2,293
600,0,61000,0.447,1372,293
600,0,61500,0.448,1379.8,294
600,0,62000,0.449,1387.7,295
600,0,62500,0.451,1395.6,296
600,0,63000,0.452,1403.5,297
600,0,63500,0.453,1411.4,298
600,0,64000,0.454,1419.4,299
600,0,64500,0.456,1427.4,299
600,0,65000,0.457,1435.4,300
600,0,65500,0.458,1443.4,301
600,0,66000,0.46,1451.5,302
600,0,66500,0.461,1459.6,303
600,0,67000,0.462,1467.7,304
600,0,67500,0.464,1475.8,305
600,0,68000,0.465,1483.6,305
600,0,68500,0.466,1491.3,306
600,0,69000,0.467,1499,307
600,0,69500,0.468,1506.7,308
600,0,70000,0.47,1514.4,309
600,0,70500,0.471,1522.2,309
600,0,71000,0.472,1529.9,310
600,0,71500,0.473,1537.7,311
600,0,72000,0.474,1545.5,312
600,0,72500,0.476,1553.3,312
600,0,73000,0.477,1561.1,313
600,0,73500,0.478,1568.9,314
600,0,74000,0.479,1576.7,315
600,0,74500,0.48,1584.6,316
600,0,75000,0.482,1592.4,316
600,10,55000,0.43,1307.5,287
600,10,55500,0.431,1315.2,288
600,10,56000,0.432,1322.8,289
600,10,56500,0.434,1330.5,290
600,10,57000,0.435,1338.3,291
600,10,57500,0.436,1346,292
600,10,58000,0.438,1353.8,293
600,10,58500,0.439,1361.7,293
600,10,59000,0.44,1369.5,294
600,10,59500,0.442,1377.4,295
600,10,60000,0.443,1385.4,296
